,name,code,African,American,Chinese,European_Other,French,Indian,Italian,Japanese_Korean,Latin_American,Mediterranean,Middle_Eastern,Other,Pakistani,Southeast_Asian,max_num,prev_cat,num_cat
0,Barking and Dagenham,E09000002,0.0,3.0,4.0,1.0,0.0,4.0,1.0,0.0,2.0,3.0,0.0,0.0,4.0,0.0,4.0,Chinese,8
1,Barnet,E09000003,4.0,7.0,33.0,5.0,4.0,24.0,38.0,20.0,6.0,29.0,10.0,1.0,21.0,14.0,38.0,Italian,14
2,Bexley,E09000004,0.0,3.0,11.0,4.0,2.0,18.0,14.0,0.0,2.0,6.0,0.0,0.0,9.0,2.0,18.0,Indian,10
3,Brent,E09000005,4.0,3.0,16.0,11.0,0.0,40.0,17.0,6.0,12.0,10.0,14.0,1.0,21.0,7.0,40.0,Indian,13
4,Bromley,E09000006,1.0,5.0,21.0,6.0,4.0,18.0,28.0,2.0,4.0,13.0,0.0,2.0,13.0,5.0,28.0,Italian,13
5,Camden,E09000007,9.0,21.0,71.0,35.0,34.0,68.0,157.0,88.0,43.0,84.0,17.0,13.0,27.0,57.0,157.0,Italian,14
6,City of London,E09000001,1.0,15.0,16.0,18.0,18.0,20.0,76.0,59.0,29.0,15.0,3.0,4.0,9.0,24.0,76.0,Italian,14
7,Croydon,E09000008,3.0,7.0,28.0,7.0,4.0,20.0,28.0,3.0,21.0,15.0,2.0,3.0,14.0,11.0,28.0,Chinese,14
8,Ealing,E09000009,1.0,5.0,12.0,11.0,4.0,37.0,18.0,9.0,5.0,16.0,14.0,6.0,26.0,10.0,37.0,Indian,14
9,Enfield,E09000010,1.0,3.0,10.0,3.0,3.0,14.0,17.0,0.0,2.0,30.0,2.0,0.0,12.0,2.0,30.0,Mediterranean,12
10,Greenwich,E09000011,3.0,8.0,18.0,5.0,4.0,14.0,13.0,8.0,9.0,7.0,2.0,4.0,10.0,6.0,18.0,Chinese,14
11,Hackney,E09000012,9.0,16.0,23.0,12.0,11.0,26.0,36.0,16.0,32.0,52.0,4.0,4.0,5.0,37.0,52.0,Mediterranean,14
12,Hammersmith and Fulham,E09000013,5.0,12.0,26.0,20.0,5.0,24.0,66.0,23.0,13.0,26.0,18.0,5.0,13.0,36.0,66.0,Italian,14
13,Haringey,E09000014,6.0,8.0,19.0,12.0,7.0,20.0,27.0,9.0,9.0,43.0,3.0,2.0,6.0,7.0,43.0,Mediterranean,14
14,Harrow,E09000015,1.0,3.0,12.0,3.0,3.0,50.0,16.0,1.0,2.0,11.0,5.0,2.0,10.0,3.0,50.0,Indian,14
15,Havering,E09000016,0.0,3.0,11.0,3.0,0.0,11.0,14.0,0.0,2.0,4.0,0.0,1.0,7.0,3.0,14.0,Italian,10
16,Hillingdon,E09000017,0.0,7.0,19.0,4.0,4.0,31.0,32.0,5.0,4.0,11.0,3.0,2.0,12.0,5.0,32.0,Italian,13
17,Hounslow,E09000018,1.0,8.0,14.0,6.0,6.0,38.0,19.0,4.0,3.0,7.0,4.0,3.0,14.0,16.0,38.0,Indian,14
18,Islington,E09000019,14.0,13.0,29.0,18.0,25.0,36.0,93.0,38.0,42.0,63.0,8.0,9.0,17.0,51.0,93.0,Italian,14
19,Kensington and Chelsea,E09000020,7.0,26.0,18.0,22.0,33.0,22.0,123.0,38.0,16.0,34.0,24.0,12.0,15.0,26.0,123.0,Italian,14
20,Kingston upon Thames,E09000021,1.0,5.0,12.0,0.0,1.0,11.0,17.0,19.0,1.0,3.0,2.0,0.0,10.0,6.0,19.0,Japanese_Korean,12
21,Lambeth,E09000022,18.0,16.0,34.0,35.0,12.0,35.0,55.0,28.0,57.0,24.0,8.0,4.0,15.0,24.0,57.0,Latin_American,14
22,Lewisham,E09000023,6.0,5.0,26.0,7.0,4.0,26.0,19.0,2.0,9.0,17.0,1.0,2.0,16.0,15.0,26.0,Chinese,14
23,Merton,E09000024,1.0,6.0,23.0,8.0,3.0,15.0,23.0,13.0,10.0,7.0,4.0,1.0,11.0,8.0,23.0,Chinese,14
24,Newham,E09000025,3.0,7.0,19.0,6.0,1.0,39.0,17.0,6.0,11.0,11.0,1.0,2.0,7.0,9.0,39.0,Indian,14
25,Redbridge,E09000026,0.0,4.0,20.0,3.0,1.0,18.0,9.0,2.0,0.0,10.0,7.0,1.0,21.0,4.0,21.0,Pakistani,12
26,Richmond upon Thames,E09000027,1.0,9.0,13.0,8.0,9.0,22.0,57.0,10.0,4.0,12.0,3.0,4.0,10.0,18.0,57.0,Italian,14
27,Southwark,E09000028,12.0,10.0,39.0,22.0,16.0,38.0,60.0,19.0,26.0,32.0,6.0,4.0,16.0,30.0,60.0,Italian,14
28,Sutton,E09000029,0.0,4.0,12.0,3.0,1.0,8.0,14.0,2.0,1.0,6.0,0.0,0.0,9.0,7.0,14.0,Italian,11
29,Tower Hamlets,E09000030,5.0,18.0,35.0,14.0,9.0,70.0,43.0,27.0,19.0,46.0,7.0,10.0,38.0,30.0,70.0,Indian,14
30,Waltham Forest,E09000031,2.0,3.0,19.0,4.0,2.0,11.0,15.0,2.0,6.0,10.0,1.0,1.0,11.0,8.0,19.0,Chinese,14
31,Wandsworth,E09000032,3.0,12.0,36.0,14.0,15.0,49.0,62.0,16.0,16.0,11.0,7.0,4.0,28.0,23.0,62.0,Italian,14
32,Westminster,E09000033,21.0,74.0,179.0,72.0,109.0,81.0,332.0,173.0,74.0,110.0,93.0,34.0,41.0,104.0,332.0,Italian,14
