name,African,American,Chinese,European_Other,French,Indian,Italian,Japanese_Korean,Latin_American,Mediterranean,Middle_Eastern,Other,Pakistani,Southeast_Asian
Barking and Dagenham,0,13.63636364,18.18181818,4.545454545,0,18.18181818,4.545454545,0,9.090909091,13.63636364,0,0,18.18181818,0
Barnet,1.851851852,3.240740741,15.27777778,2.314814815,1.851851852,11.11111111,17.59259259,9.259259259,2.777777778,13.42592593,4.62962963,0.462962963,9.722222222,6.481481481
Bexley,0,4.225352113,15.49295775,5.633802817,2.816901408,25.35211268,19.71830986,0,2.816901408,8.450704225,0,0,12.67605634,2.816901408
Brent,2.469135802,1.851851852,9.87654321,6.790123457,0,24.69135802,10.49382716,3.703703704,7.407407407,6.172839506,8.641975309,0.617283951,12.96296296,4.320987654
Bromley,0.819672131,4.098360656,17.21311475,4.918032787,3.278688525,14.75409836,22.95081967,1.639344262,3.278688525,10.6557377,0,1.639344262,10.6557377,4.098360656
Camden,1.243093923,2.900552486,9.806629834,4.834254144,4.696132597,9.392265193,21.68508287,12.15469613,5.939226519,11.60220994,2.348066298,1.79558011,3.729281768,7.872928177
City of London,0.325732899,4.885993485,5.211726384,5.863192182,5.863192182,6.51465798,24.75570033,19.21824104,9.446254072,4.885993485,0.977198697,1.302931596,2.931596091,7.817589577
Croydon,1.807228916,4.21686747,16.86746988,4.21686747,2.409638554,12.04819277,16.86746988,1.807228916,12.65060241,9.036144578,1.204819277,1.807228916,8.43373494,6.626506024
Ealing,0.574712644,2.873563218,6.896551724,6.32183908,2.298850575,21.26436782,10.34482759,5.172413793,2.873563218,9.195402299,8.045977011,3.448275862,14.94252874,5.747126437
Enfield,1.01010101,3.03030303,10.1010101,3.03030303,3.03030303,14.14141414,17.17171717,0,2.02020202,30.3030303,2.02020202,0,12.12121212,2.02020202
Greenwich,2.702702703,7.207207207,16.21621622,4.504504505,3.603603604,12.61261261,11.71171171,7.207207207,8.108108108,6.306306306,1.801801802,3.603603604,9.009009009,5.405405405
Hackney,3.180212014,5.653710247,8.127208481,4.240282686,3.886925795,9.187279152,12.72084806,5.653710247,11.30742049,18.3745583,1.413427562,1.413427562,1.766784452,13.07420495
Hammersmith and Fulham,1.712328767,4.109589041,8.904109589,6.849315068,1.712328767,8.219178082,22.60273973,7.876712329,4.452054795,8.904109589,6.164383562,1.712328767,4.452054795,12.32876712
