OID,FID_1,Field1,category,id,latitude,longitude,general_ca,FID_2,label,altname,name,code,centroid_x,centroid_y
0,0,0,italian,ZfM-yM1OWk41l8RJNRMnvw,51.49872282,-0.183567238,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
1,2,2,italian,jcWobjpfGS5AaJuh13UbUw,51.4985799,-0.2000019,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
2,3,3,italian,7Pc6VXiWEqc4JbgrH4U3tA,51.49287595,-0.176558383,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
3,4,4,italian,gpQUlJ0dQyZexifTOoMF1Q,51.502248,-0.187966,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
4,5,5,italian,gXQSA3xudtrtN1lYOzrmoQ,51.49409562,-0.201894408,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
5,6,6,italian,xqQ8BvDjq6C5v2wQM1Mghg,51.49388504,-0.17815198,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
6,7,7,italian,TIfha7KOWgLRhN8935g6Iw,51.489143,-0.190697,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
7,8,8,italian,UaRbaw8qy8WR6AUTogv8lg,51.49261072,-0.177413504,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
8,9,9,italian,MGggp1H71fCG4dbV5adMRQ,51.4986917,-0.1995867,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
9,10,10,italian,sF7LIA3rRWoq9IvH4f-91Q,51.4920602,-0.1916228,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
10,12,12,italian,3lqdY0zWXoNeE-8Z08lsEA,51.5098497,-0.1975001,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
11,13,13,italian,EULk_3fHxc_PlCLEK8SNDw,51.49854821,-0.201135837,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
12,14,14,italian,wx85QQNFA47NTL68rxD-oQ,51.49481177,-0.190288286,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
13,17,17,italian,APLsQ3Kws6Crg8Kw6Jydow,51.50028649,-0.211219584,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
14,18,18,italian,OvEu0cMBXZHKtwwWzih-Tg,51.4926949,-0.1773934,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
