OID,category,id,latitude,longitude,general_ca,label,name,code
0,italian,ZfM-yM1OWk41l8RJNRMnvw,51.49872282,-0.183567238,Italian,E09000020,Kensington and Chelsea,E09000020
1,italian,jcWobjpfGS5AaJuh13UbUw,51.4985799,-0.2000019,Italian,E09000020,Kensington and Chelsea,E09000020
2,italian,7Pc6VXiWEqc4JbgrH4U3tA,51.49287595,-0.176558383,Italian,E09000020,Kensington and Chelsea,E09000020
3,italian,gpQUlJ0dQyZexifTOoMF1Q,51.502248,-0.187966,Italian,E09000020,Kensington and Chelsea,E09000020
4,italian,gXQSA3xudtrtN1lYOzrmoQ,51.49409562,-0.201894408,Italian,E09000020,Kensington and Chelsea,E09000020
5,italian,xqQ8BvDjq6C5v2wQM1Mghg,51.49388504,-0.17815198,Italian,E09000020,Kensington and Chelsea,E09000020
6,italian,TIfha7KOWgLRhN8935g6Iw,51.489143,-0.190697,Italian,E09000020,Kensington and Chelsea,E09000020
7,italian,UaRbaw8qy8WR6AUTogv8lg,51.49261072,-0.177413504,Italian,E09000020,Kensington and Chelsea,E09000020
8,italian,MGggp1H71fCG4dbV5adMRQ,51.4986917,-0.1995867,Italian,E09000020,Kensington and Chelsea,E09000020
9,italian,sF7LIA3rRWoq9IvH4f-91Q,51.4920602,-0.1916228,Italian,E09000020,Kensington and Chelsea,E09000020
10,italian,3lqdY0zWXoNeE-8Z08lsEA,51.5098497,-0.1975001,Italian,E09000020,Kensington and Chelsea,E09000020
11,italian,EULk_3fHxc_PlCLEK8SNDw,51.49854821,-0.201135837,Italian,E09000020,Kensington and Chelsea,E09000020
12,italian,wx85QQNFA47NTL68rxD-oQ,51.49481177,-0.190288286,Italian,E09000020,Kensington and Chelsea,E09000020
13,italian,APLsQ3Kws6Crg8Kw6Jydow,51.50028649,-0.211219584,Italian,E09000020,Kensington and Chelsea,E09000020
14,italian,OvEu0cMBXZHKtwwWzih-Tg,51.4926949,-0.1773934,Italian,E09000020,Kensington and Chelsea,E09000020
15,italian,CRNjB3-lM0xo_MdUgtx5Ow,51.50039601,-0.188219936,Italian,E09000020,Kensington and Chelsea,E09000020
16,italian,m5XYpuoe5q-32gF6s9ksXA,51.49485709,-0.187095939,Italian,E09000020,Kensington and Chelsea,E09000020
17,italian,51-i5B6A4Yh8_qNOlsL9NA,51.50209652,-0.188687904,Italian,E09000020,Kensington and Chelsea,E09000020
18,italian,S05zPDBAScb-06X0vMeLMg,51.482228,-0.180634,Italian,E09000020,Kensington and Chelsea,E09000020
19,italian,e6kQtNUriIb2FfatlEH6Wg,51.50696665,-0.206712163,Italian,E09000020,Kensington and Chelsea,E09000020
20,italian,mnLM9jFngaaL8EdH0qHnWw,51.496176,-0.169932,Italian,E09000020,Kensington and Chelsea,E09000020
21,italian,T2xtBPhUJRX29Z0ZIwRdiQ,51.516249,-0.206083,Italian,E09000020,Kensington and Chelsea,E09000020
22,italian,ljYI9H8pzkLhk2Do_HhXxw,51.4971545,-0.166861,Italian,E09000020,Kensington and Chelsea,E09000020
23,italian,4P-VEAHpM-4VxfWB4ckE2w,51.50057,-0.18927,Italian,E09000020,Kensington and Chelsea,E09000020
24,italian,O5Dw1qomPtGLk32y9Rn2bA,51.506527,-0.208943,Italian,E09000020,Kensington and Chelsea,E09000020
25,italian,0KQl0ljgHIckdqPOZAZ1Ew,51.49775093,-0.197561773,Italian,E09000020,Kensington and Chelsea,E09000020
26,italian,Wgnw8p6Wju-DEDwj8sZ5eA,51.4859996,-0.180013235,Italian,E09000020,Kensington and Chelsea,E09000020
27,italian,hzihYRuboeeBRGjN3RGg3g,51.4987215,-0.1834617,Italian,E09000020,Kensington and Chelsea,E09000020
28,italian,ft-dFyZwLjUUOsBePWOZmQ,51.5133912,-0.19434,Italian,E09000020,Kensington and Chelsea,E09000020
29,italian,Xty2MtDQTnd2grIlrIST1w,51.49586487,-0.164903,Italian,E09000020,Kensington and Chelsea,E09000020
30,italian,FJdMhIf2w4G3qQBCcUaSxw,51.4926965,-0.1940572,Italian,E09000020,Kensington and Chelsea,E09000020
31,italian,qb0Wm0Ag3AE8ue_lHYLU_A,51.48316,-0.18549,Italian,E09000020,Kensington and Chelsea,E09000020
32,italian,PikKKq7QLmpg2CAtZBpU2w,51.5085851,-0.1985969,Italian,E09000020,Kensington and Chelsea,E09000020
33,italian,T9BC90kxPsFi7ZHb5vH1nw,51.4860996,-0.1720436,Italian,E09000020,Kensington and Chelsea,E09000020
34,italian,-cyD8_P1ejBvhSfmybyBAw,51.510158,-0.197994,Italian,E09000020,Kensington and Chelsea,E09000020
35,italian,qLnQfK29fzGW8EXInfH_Rw,51.493809,-0.175544,Italian,E09000020,Kensington and Chelsea,E09000020
36,italian,XOUOPkP9DRSvd63BJRw2mA,51.48589605,-0.180878115,Italian,E09000020,Kensington and Chelsea,E09000020
37,italian,dlCyXTaVFVBdNwFJpeLp4g,51.5186844,-0.204526,Italian,E09000020,Kensington and Chelsea,E09000020
38,italian,iJWbDcwMB_-faWW1wlvjnw,51.48906542,-0.176328647,Italian,E09000020,Kensington and Chelsea,E09000020
39,italian,EppwU38YQzpcTw5661YPhw,51.518164,-0.204104,Italian,E09000020,Kensington and Chelsea,E09000020
40,italian,FnnjGImFG5WR7AMNfuz_dw,51.49318516,-0.182100139,Italian,E09000020,Kensington and Chelsea,E09000020
41,italian,uj4czQ4jWmPkLcbRR-E7Gg,51.4937152,-0.1678684,Italian,E09000020,Kensington and Chelsea,E09000020
42,italian,Jg71wxAOnFICkV81pU5qbw,51.5022012,-0.1890548,Italian,E09000020,Kensington and Chelsea,E09000020
43,italian,YApkNjiCVBnuUUkS2SpIig,51.4859041,-0.1843726,Italian,E09000020,Kensington and Chelsea,E09000020
44,italian,yagSnE0rg9OSXyuRgphWwQ,51.498008,-0.1653206,Italian,E09000020,Kensington and Chelsea,E09000020
45,italian,99Q0vNBvnM5Rnw1atnr2xA,51.51535963,-0.20589052,Italian,E09000020,Kensington and Chelsea,E09000020
46,italian,6fobd5tSaKHwhB2cT9ri2g,51.48617886,-0.180355709,Italian,E09000020,Kensington and Chelsea,E09000020
47,italian,CyP4nZBMbNyP2NaJV03Bmw,51.5089085,-0.1988375,Italian,E09000020,Kensington and Chelsea,E09000020
48,italian,y4YGtuQKjwxFEDKJnN9cLg,51.494335,-0.173954,Italian,E09000020,Kensington and Chelsea,E09000020
49,italian,N061zlyo0MTNDQiG96hUHQ,51.488548,-0.169777,Italian,E09000020,Kensington and Chelsea,E09000020
50,italian,EibwJ4akv8xFdba2U1TM6g,51.513968,-0.217472,Italian,E09000020,Kensington and Chelsea,E09000020
51,italian,wUwUajx4L-ZDtI77mJss1A,51.4889717,-0.175974091,Italian,E09000020,Kensington and Chelsea,E09000020
52,italian,CBHrqKjE0SE4d6ypDLFEJw,51.493929,-0.182685,Italian,E09000020,Kensington and Chelsea,E09000020
53,italian,BzX-KhL4VDjOidEKXPhBNQ,51.49909775,-0.15774009,Italian,E09000020,Kensington and Chelsea,E09000020
54,italian,szKxw1gnwOjdG-cG4nR4hA,51.49482488,-0.183395594,Italian,E09000020,Kensington and Chelsea,E09000020
55,italian,6CzxenEcXpcg3IShgJiqNg,51.501019,-0.188078,Italian,E09000020,Kensington and Chelsea,E09000020
56,italian,2PpnLkYFm2lqt28KGSJlcQ,51.50155048,-0.184359831,Italian,E09000020,Kensington and Chelsea,E09000020
57,italian,3jmNtlgpcqtn0XWPifvnlg,51.4951101,-0.1740772,Italian,E09000020,Kensington and Chelsea,E09000020
58,italian,FMOhZ-XrafA4HRuRI4bEQg,51.51341852,-0.203090774,Italian,E09000020,Kensington and Chelsea,E09000020
59,italian,l67S1gE47iztKPpvvEB3jA,51.4829896,-0.1781273,Italian,E09000020,Kensington and Chelsea,E09000020
60,italian,LMKwOJL1JSP-aP6hC_B8zw,51.51557645,-0.206003065,Italian,E09000020,Kensington and Chelsea,E09000020
61,italian,2LDwA5Oc4VFpQyb6zs2wmA,51.5180958,-0.206940248,Italian,E09000020,Kensington and Chelsea,E09000020
62,italian,V8S6pwTpFW4nhu_irDUv1Q,51.4881308,-0.169354677,Italian,E09000020,Kensington and Chelsea,E09000020
63,italian,LDQFyVJJkwrc6ZplFrYk1A,51.52267038,-0.207517818,Italian,E09000020,Kensington and Chelsea,E09000020
64,italian,b2MgYNeuE1uoOyNzZPBHnA,51.4855672,-0.1818483,Italian,E09000020,Kensington and Chelsea,E09000020
65,italian,Aa_8xRphtmWkTTCtXHe04A,51.49851895,-0.162112916,Italian,E09000020,Kensington and Chelsea,E09000020
66,italian,ZT8M0TcLZXXcdPaMbk18Cg,51.5180217,-0.2069201,Italian,E09000020,Kensington and Chelsea,E09000020
67,italian,HR3VE6PUAZMbY4M64GaufQ,51.5018836,-0.1915139,Italian,E09000020,Kensington and Chelsea,E09000020
68,italian,AGvwTHggMX79RxJkK5PKhg,51.502117,-0.188760475,Italian,E09000020,Kensington and Chelsea,E09000020
69,italian,YPVuaIAeFFNSs7uKNsBzyQ,51.4858641,-0.1843076,Italian,E09000020,Kensington and Chelsea,E09000020
70,italian,xJA1FT2oGoMOi6C_UMNYIQ,51.509773,-0.193684,Italian,E09000020,Kensington and Chelsea,E09000020
71,italian,Ps5rjrUJt5QKesVj0plovA,51.4860526,-0.1810413,Italian,E09000020,Kensington and Chelsea,E09000020
72,italian,W8eL5kXvaMWa5zuhDQrWsQ,51.51442764,-0.201214626,Italian,E09000020,Kensington and Chelsea,E09000020
73,italian,9kv1M4yxkU30681vKmcgsw,51.49143259,-0.159535474,Italian,E09000020,Kensington and Chelsea,E09000020
74,italian,xup-3Iso1n4mIPeTUlkoTA,51.50852931,-0.199407089,Italian,E09000020,Kensington and Chelsea,E09000020
75,italian,fiFgpIpAXWjbcE-HiJU4dQ,51.485258,-0.181359,Italian,E09000020,Kensington and Chelsea,E09000020
76,italian,RjWPLLjUmauU3mU7cp2emA,51.4936902,-0.1950204,Italian,E09000020,Kensington and Chelsea,E09000020
77,italian,rdTPhHLjItojCYHkp0d_7w,51.48240274,-0.178077831,Italian,E09000020,Kensington and Chelsea,E09000020
78,italian,9ZaMnl5q1J32zO2O7S72HQ,51.485343,-0.173563,Italian,E09000020,Kensington and Chelsea,E09000020
79,italian,xwg7qQ2hSkKVubqblBBZZQ,51.524223,-0.21364,Italian,E09000020,Kensington and Chelsea,E09000020
80,italian,TMo3Gp0T7mFoYrzSRlCKkQ,51.49163818,-0.160261005,Italian,E09000020,Kensington and Chelsea,E09000020
81,italian,EQVdohDrRxogmnoL8VnfXg,51.497627,-0.1651673,Italian,E09000020,Kensington and Chelsea,E09000020
82,italian,gTXIXbAoUnBMx9CMvhjDaA,51.4916496,-0.1714491,Italian,E09000020,Kensington and Chelsea,E09000020
83,italian,Q3xaSqPst6f1mXkgPI0FHw,51.4976196,-0.2028484,Italian,E09000020,Kensington and Chelsea,E09000020
84,italian,PvXAsNEKk0aocDwz-o9UKA,51.49918,-0.1837949,Italian,E09000020,Kensington and Chelsea,E09000020
85,italian,6aWsRctfgr1LwTMtbksH4w,51.49246597,-0.17701,Italian,E09000020,Kensington and Chelsea,E09000020
86,italian,EE2KLvA5iF-dgRGeWjBc7Q,51.4934731,-0.167262,Italian,E09000020,Kensington and Chelsea,E09000020
87,italian,hflLZDle3N4TE059hnonXg,51.493715,-0.159183,Italian,E09000020,Kensington and Chelsea,E09000020
88,italian,wdIGtn_e3Myqp5QLjfMCkw,51.491252,-0.167248,Italian,E09000020,Kensington and Chelsea,E09000020
89,italian,jkUgv2q0Ygq094iy-Gm-_g,51.49339472,-0.173753522,Italian,E09000020,Kensington and Chelsea,E09000020
90,italian,E4yxoST5ZkINm8KDV6ifDQ,51.51015307,-0.197551064,Italian,E09000020,Kensington and Chelsea,E09000020
91,italian,dSCWduCGh6DC-1Enr0hoGQ,51.4968484,-0.20541694,Italian,E09000020,Kensington and Chelsea,E09000020
92,italian,WlM-aqwI6-GpTrTFLXeG4w,51.5085189,-0.1998431,Italian,E09000020,Kensington and Chelsea,E09000020
93,italian,Te_NzSWhOS9rOjafEwW2iA,51.49614,-0.164128,Italian,E09000020,Kensington and Chelsea,E09000020
94,italian,l4CQZDQ7pCmkhopx89oU2g,51.494935,-0.187241,Italian,E09000020,Kensington and Chelsea,E09000020
95,italian,QS4mujF-8nPRulJCktyRtQ,51.4947797,-0.1875799,Italian,E09000020,Kensington and Chelsea,E09000020
96,italian,6F7g2QPLN3Src-nWUjIXSw,51.4930788,-0.1766343,Italian,E09000020,Kensington and Chelsea,E09000020
97,italian,7qG_nrBJsa8_nlhNh-KryQ,51.48752573,-0.164572184,Italian,E09000020,Kensington and Chelsea,E09000020
98,italian,DvxbdqM1lvn2visSF9WHaA,51.498242,-0.166853,Italian,E09000020,Kensington and Chelsea,E09000020
99,italian,TFLiZPSrtJhzpW8qriX2fA,51.5154939,-0.2056495,Italian,E09000020,Kensington and Chelsea,E09000020
100,italian,Hvp26nVCqtQHfn7uLibWJg,51.4947815,-0.1875799,Italian,E09000020,Kensington and Chelsea,E09000020
101,italian,EItvpaQsJOmS_cumOuFS6A,51.51538562,-0.205640606,Italian,E09000020,Kensington and Chelsea,E09000020
102,italian,lidvHVZ3jVHTNzrcPjwZ5g,51.491453,-0.159404,Italian,E09000020,Kensington and Chelsea,E09000020
103,italian,C5lQfQ5XfDzKBk9Qbuj4_g,51.4971325,-0.1620878,Italian,E09000020,Kensington and Chelsea,E09000020
104,italian,i7V_LLEMvkmjAZUb9WMWHw,51.491252,-0.167248,Italian,E09000020,Kensington and Chelsea,E09000020
105,italian,4gq0MNqjvkAyvjnDGQK0qg,51.48898344,-0.16528823,Italian,E09000020,Kensington and Chelsea,E09000020
106,italian,o8XSluCgafYqf7Ia8hbeOQ,51.49303,-0.193165,Italian,E09000020,Kensington and Chelsea,E09000020
107,italian,gtG_KTfancLYB7r01IoBuw,51.4860654,-0.1666454,Italian,E09000020,Kensington and Chelsea,E09000020
108,italian,-HAMHX7-G0iIGe4GAdaFug,51.4935632,-0.1672891,Italian,E09000020,Kensington and Chelsea,E09000020
109,italian,CRT3V3Kw3X-bs9BzsyrbBw,51.4974127,-0.1643569,Italian,E09000020,Kensington and Chelsea,E09000020
110,italian,r5Ni17dep-Kn4RHDyckLTg,51.509773,-0.193684,Italian,E09000020,Kensington and Chelsea,E09000020
111,italian,DY-Wy4wWtDwZNK2--nCwCg,51.5088223,-0.1970564,Italian,E09000020,Kensington and Chelsea,E09000020
112,italian,ObunjX9yaOTD4doIJDud0g,51.52103545,-0.209423554,Italian,E09000020,Kensington and Chelsea,E09000020
113,italian,10PixfqU8i04OGVjO0SMHw,51.48605,-0.17216,Italian,E09000020,Kensington and Chelsea,E09000020
114,italian,YgF4zJnHiG9vXnGQi4JxFQ,51.5181,-0.210278,Italian,E09000020,Kensington and Chelsea,E09000020
115,italian,W_goWhqiUHEfVAyxPdmnwQ,51.48911285,-0.165491,Italian,E09000020,Kensington and Chelsea,E09000020
116,italian,WwW8xn6HHv0fDZMBQ8jHQA,51.49915695,-0.184005007,Italian,E09000020,Kensington and Chelsea,E09000020
117,italian,xy6xNNs7EttPDXIeOwMnKQ,51.494959,-0.189977,Italian,E09000020,Kensington and Chelsea,E09000020
118,french,b8u_D0Qlp0-nqSC6O2fMNw,51.485833,-0.161966,French,E09000020,Kensington and Chelsea,E09000020
119,french,btmD6I6XuFIngdLZtWAjTg,51.4937304,-0.1823091,French,E09000020,Kensington and Chelsea,E09000020
120,french,xswz3LN249CBWn-Xc7u2lg,51.4992288,-0.1969429,French,E09000020,Kensington and Chelsea,E09000020
121,french,BZ96WsFu82jq65zs4Y2MsQ,51.4924431,-0.1778994,French,E09000020,Kensington and Chelsea,E09000020
122,french,Eb7RLzLQfFt4Uyif0dwHxA,51.4859441,-0.1844376,French,E09000020,Kensington and Chelsea,E09000020
123,french,jn8UYfbFnOJbPnQd5JmfTQ,51.501822,-0.204205,French,E09000020,Kensington and Chelsea,E09000020
124,french,By1sfLsT1HnYjQmtrGa0iA,51.501545,-0.1842622,French,E09000020,Kensington and Chelsea,E09000020
125,french,8sdlfM2kpwWgcq5CSWvlCQ,51.49274086,-0.157326219,French,E09000020,Kensington and Chelsea,E09000020
126,french,8pafyRKpDRt0pd5KXh-Hzg,51.50197688,-0.188927866,French,E09000020,Kensington and Chelsea,E09000020
127,french,KRuQt2CSvyqp2kcEkmm-8A,51.49851609,-0.18387063,French,E09000020,Kensington and Chelsea,E09000020
128,french,eKV3GGH9gU5h028CU839kQ,51.49331459,-0.168833455,French,E09000020,Kensington and Chelsea,E09000020
129,french,Y9x_BvxeJ35cR056LBFk4g,51.50228778,-0.189047654,French,E09000020,Kensington and Chelsea,E09000020
130,french,U4WjNkwhJySZ6nU1kTneaw,51.4903487,-0.190576315,French,E09000020,Kensington and Chelsea,E09000020
131,french,lRbFJrq0akioykOg4jORxA,51.48339844,-0.177386001,French,E09000020,Kensington and Chelsea,E09000020
132,french,UL75qDGkw5E4osQBUa51Hw,51.49328003,-0.1925273,French,E09000020,Kensington and Chelsea,E09000020
133,french,u5CTn5xJdJmBUQ0e_4ET_w,51.4899216,-0.1731137,French,E09000020,Kensington and Chelsea,E09000020
134,french,BzX3EqSuM0HMxj2B5x_bRw,51.5040305,-0.1919676,French,E09000020,Kensington and Chelsea,E09000020
135,french,2etQpNmfh9pTdSpartNb5A,51.5087,-0.1991345,French,E09000020,Kensington and Chelsea,E09000020
136,french,zCqGzGJDES5opews0KI3hw,51.4915237,-0.1717836,French,E09000020,Kensington and Chelsea,E09000020
137,french,xdfuU84OuzYDOyVzauQlJA,51.4815445,-0.1815242,French,E09000020,Kensington and Chelsea,E09000020
138,french,ZG_xWzOUB3wBupWxdyzHKA,51.4896098,-0.1637223,French,E09000020,Kensington and Chelsea,E09000020
139,french,Iz4be5NlRlGH-cKHKt8luw,51.4983918,-0.1839082,French,E09000020,Kensington and Chelsea,E09000020
140,french,0PevNLQx8HyuKHBzg8Fy6w,51.517861,-0.206798,French,E09000020,Kensington and Chelsea,E09000020
141,french,kyDsukC9YP5aM97WajnO_g,51.5128446,-0.1940695,French,E09000020,Kensington and Chelsea,E09000020
142,french,ZcGU3juh_1LyTA7buusgbg,51.4941285,-0.1689765,French,E09000020,Kensington and Chelsea,E09000020
143,french,LdTb02WLHa9eh6Xk3e-tIw,51.492889,-0.1570822,French,E09000020,Kensington and Chelsea,E09000020
144,french,8J7LgFLz2UPT2k5xcHpfDw,51.49741588,-0.162391663,French,E09000020,Kensington and Chelsea,E09000020
145,french,xJjs-4CTVJmsiGoTcBTEqA,51.4908879,-0.1833444,French,E09000020,Kensington and Chelsea,E09000020
146,french,dn8fH7NsLzBijfWrZ9_Djw,51.502055,-0.188298,French,E09000020,Kensington and Chelsea,E09000020
147,french,KF23IECBankB1dE2wyih5A,51.5068433,-0.2072533,French,E09000020,Kensington and Chelsea,E09000020
148,french,kSblI7p1RXKoUiifNBOgnA,51.52264786,-0.207705006,French,E09000020,Kensington and Chelsea,E09000020
149,spanish,XkAwS7fh17t2NByUzM-VPg,51.49071555,-0.183670756,European_Other,E09000020,Kensington and Chelsea,E09000020
150,spanish,q_tusdGaa20AEQNfpJoW4A,51.4909847,-0.1839378,European_Other,E09000020,Kensington and Chelsea,E09000020
151,spanish,VUH8CQe3GazQKtDIxCNixQ,51.49074774,-0.183624457,European_Other,E09000020,Kensington and Chelsea,E09000020
152,spanish,PWJiVG6QUm8P2aLJke1Ndw,51.5067595,-0.2072507,European_Other,E09000020,Kensington and Chelsea,E09000020
153,spanish,QBW7NfRURYLOVSAYp4mMpw,51.51659461,-0.205446482,European_Other,E09000020,Kensington and Chelsea,E09000020
154,spanish,aNe-csvGyoEkw62ysRbqpA,51.51601062,-0.204917461,European_Other,E09000020,Kensington and Chelsea,E09000020
155,spanish,UlWuQCehRHfyxz8AZj42tg,51.49486229,-0.173562906,European_Other,E09000020,Kensington and Chelsea,E09000020
156,spanish,08ITFw37j1rJTTkOROWJWQ,51.51831713,-0.20521944,European_Other,E09000020,Kensington and Chelsea,E09000020
157,spanish,Wp9G9XQLWsaxfbNdGwcacw,51.48713287,-0.169122665,European_Other,E09000020,Kensington and Chelsea,E09000020
158,spanish,USzmydytDQ5ksyX22zURQQ,51.5153442,-0.2048745,European_Other,E09000020,Kensington and Chelsea,E09000020
159,portuguese,NTCJPRbUe423Wf6rm_xeLA,51.49349011,-0.181780935,European_Other,E09000020,Kensington and Chelsea,E09000020
160,portuguese,jNfCnG_YyY-UsJoi7KZHgw,51.49259132,-0.193867563,European_Other,E09000020,Kensington and Chelsea,E09000020
161,portuguese,fvIcQJReW4Q65QJ4t1E-6A,51.4992579,-0.1976659,European_Other,E09000020,Kensington and Chelsea,E09000020
162,portuguese,REhb-qBL9hkXyoec71arhA,51.49445782,-0.174598839,European_Other,E09000020,Kensington and Chelsea,E09000020
163,portuguese,yo0hUsbk0byFBR6qVveYnQ,51.485826,-0.18089,European_Other,E09000020,Kensington and Chelsea,E09000020
164,portuguese,qWPwgLgsOHsU11JljWa8bQ,51.509395,-0.195575,European_Other,E09000020,Kensington and Chelsea,E09000020
165,portuguese,KIKXMvvaEQSOzS5tWR800w,51.522245,-0.203008,European_Other,E09000020,Kensington and Chelsea,E09000020
166,austrian,-_6mjiQuPMMR7VvLb3v92A,51.4968262,-0.1684469,European_Other,E09000020,Kensington and Chelsea,E09000020
167,georgian,ISg1R0zQHW3cvYPXAuNpfQ,51.499603,-0.196103,Other,E09000020,Kensington and Chelsea,E09000020
168,german,wba5ChSu7cstA-sJEoOSYg,51.51547296,-0.204620361,European_Other,E09000020,Kensington and Chelsea,E09000020
169,polish,IIMtF_7RpIGBBPN9qN0CRA,51.4943231,-0.1736183,European_Other,E09000020,Kensington and Chelsea,E09000020
170,scandinavian,CvYiWzRJ_xBXBcXm6QLYyw,51.5215609,-0.2089577,European_Other,E09000020,Kensington and Chelsea,E09000020
171,scandinavian,X_1Z-RAonaFLaTjkdKBljA,51.5193556,-0.2078333,European_Other,E09000020,Kensington and Chelsea,E09000020
172,african,53gjK5hft6c7H45NIWW0mg,51.51556643,-0.204663277,African,E09000020,Kensington and Chelsea,E09000020
173,african,5oHfokgXds6sZO8F-txAyA,51.521405,-0.208881,African,E09000020,Kensington and Chelsea,E09000020
174,ethiopian,eWNBPB72He9xhH64fQ9T7A,51.5176913,-0.210482,African,E09000020,Kensington and Chelsea,E09000020
175,moroccan,mOs9Mv94pVrvW54h4gTiEQ,51.49027562,-0.190962556,African,E09000020,Kensington and Chelsea,E09000020
176,moroccan,V7vaY1pbuKwfSLS0oxjaBQ,51.52158205,-0.208927989,African,E09000020,Kensington and Chelsea,E09000020
177,moroccan,S84AX-PxAiOXvQ3XeHUPvA,51.522033,-0.207989,African,E09000020,Kensington and Chelsea,E09000020
178,moroccan,4C-p6XFct7xRAOTL-fNkcw,51.52252,-0.207549,African,E09000020,Kensington and Chelsea,E09000020
